
> blue-ocean@0.0.1 server
> node server/index.js

[dotenv@17.2.3] injecting env (13) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  enable debug logging with { debug: true }
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"email":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(Use `node --trace-warnings ...` to show where the warning was created)
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"orderNumber":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"slug":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:42837) [MONGOOSE] Warning: Duplicate schema index on {"id":1} found. This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
✅ MongoDB Connected: mongodb://localhost:27017/blueocean
2025-11-10T22:38:34.701Z - POST /api/auth/signin
2025-11-10T22:38:37.845Z - GET /api/subscriptions/current
2025-11-10T22:38:37.851Z - GET /api/subscriptions/current
2025-11-10T22:38:38.939Z - GET /api/subscriptions/current
2025-11-10T22:38:38.943Z - GET /api/subscriptions/current
2025-11-10T22:39:13.223Z - POST /api/subscriptions
2025-11-10T22:39:15.839Z - GET /api/subscriptions/current
2025-11-10T22:39:15.942Z - POST /api/subscriptions
2025-11-10T22:39:27.284Z - POST /api/auth/signin
2025-11-10T22:39:33.321Z - GET /api/subscriptions/current
2025-11-10T22:39:33.440Z - GET /api/subscriptions/current
2025-11-10T22:39:35.162Z - GET /api/subscriptions/current
2025-11-10T22:39:35.246Z - GET /api/subscriptions/current
2025-11-10T22:40:06.236Z - GET /api/subscriptions/current
2025-11-10T22:41:20.559Z - GET /api/subscriptions/current
2025-11-10T22:41:20.634Z - GET /api/subscriptions/current
2025-11-10T22:42:07.669Z - POST /api/subscriptions
2025-11-10T22:42:21.020Z - POST /api/auth/signin
2025-11-10T22:42:42.701Z - GET /api/subscriptions/current
2025-11-10T22:42:44.031Z - GET /api/subscriptions/current
2025-11-10T22:42:45.397Z - GET /api/subscriptions/current
2025-11-10T22:42:45.531Z - GET /api/subscriptions/current
2025-11-10T22:43:01.064Z - GET /api/subscriptions/current
2025-11-10T22:43:03.685Z - GET /api/subscriptions/current
2025-11-10T22:43:41.845Z - GET /api/subscriptions/current
2025-11-10T22:44:23.488Z - GET /api/subscriptions/current
2025-11-10T22:44:33.483Z - GET /api/subscriptions/current
2025-11-10T22:45:10.606Z - GET /api/subscriptions/current
2025-11-10T22:45:12.581Z - GET /api/subscriptions/current
2025-11-10T22:45:12.620Z - POST /api/subscriptions
2025-11-10T22:45:22.544Z - POST /api/auth/signin
2025-11-10T22:45:31.594Z - GET /api/subscriptions/current
2025-11-10T22:45:32.146Z - GET /api/subscriptions/current
2025-11-10T22:45:40.828Z - GET /api/subscriptions/current
2025-11-10T22:45:41.170Z - GET /api/subscriptions/current
2025-11-10T22:46:16.939Z - GET /api/subscriptions/current
2025-11-10T22:46:27.838Z - GET /api/subscriptions/current
2025-11-10T22:47:00.661Z - GET /api/subscriptions/current
2025-11-10T22:47:24.875Z - GET /api/subscriptions/current
2025-11-10T22:47:26.333Z - GET /api/subscriptions/current
2025-11-10T22:55:59.216Z - POST /api/auth/signin
2025-11-10T22:56:03.461Z - GET /api/subscriptions/current
2025-11-10T22:56:03.485Z - GET /api/subscriptions/current
2025-11-10T22:56:09.528Z - GET /api/products
2025-11-10T22:56:10.847Z - GET /api/products
2025-11-10T22:56:10.969Z - GET /api/products
2025-11-10T22:56:11.231Z - GET /api/products
2025-11-10T22:58:53.705Z - GET /api/health
2025-11-10T23:02:53.762Z - GET /api/health
2025-11-10T23:04:31.075Z - POST /api/auth/signin
2025-11-10T23:04:40.180Z - GET /api/subscriptions/current
2025-11-10T23:04:40.647Z - GET /api/subscriptions/current
2025-11-10T23:04:43.551Z - GET /api/products
2025-11-10T23:04:45.964Z - GET /api/products
2025-11-10T23:04:46.076Z - GET /api/products
2025-11-10T23:04:46.447Z - GET /api/products
2025-11-10T23:05:52.962Z - GET /api/products
2025-11-10T23:06:00.573Z - GET /api/subscriptions/current
2025-11-10T23:06:00.974Z - GET /api/subscriptions/current
2025-11-10T23:06:05.639Z - GET /api/products
2025-11-10T23:06:06.741Z - GET /api/products
2025-11-10T23:06:06.832Z - GET /api/products
2025-11-10T23:06:06.902Z - GET /api/products
2025-11-10T23:06:11.632Z - GET /api/subscriptions/current
2025-11-10T23:06:12.359Z - GET /api/subscriptions/current
2025-11-10T23:06:27.455Z - POST /api/auth/signin
2025-11-10T23:07:05.636Z - GET /api/subscriptions/current
2025-11-10T23:07:05.921Z - GET /api/subscriptions/current
2025-11-10T23:07:42.627Z - POST /api/auth/signin
2025-11-10T23:07:48.042Z - GET /api/subscriptions/current
2025-11-10T23:07:48.450Z - GET /api/subscriptions/current
2025-11-10T23:08:31.444Z - POST /api/auth/signin
2025-11-10T23:08:50.944Z - GET /api/subscriptions/current
2025-11-10T23:08:52.594Z - GET /api/subscriptions/current
2025-11-10T23:10:20.358Z - POST /api/auth/signin
2025-11-10T23:10:23.606Z - GET /api/subscriptions/current
2025-11-10T23:10:23.624Z - GET /api/subscriptions/current
2025-11-10T23:12:00.867Z - POST /api/auth/signin
2025-11-10T23:12:04.060Z - GET /api/subscriptions/current
2025-11-10T23:12:04.070Z - GET /api/subscriptions/current
2025-11-10T23:12:40.159Z - POST /api/auth/signin
2025-11-10T23:12:48.395Z - POST /api/auth/signin
2025-11-10T23:12:53.780Z - GET /api/subscriptions/current
2025-11-10T23:12:54.100Z - GET /api/subscriptions/current
2025-11-10T23:13:57.597Z - POST /api/auth/signin
2025-11-10T23:14:02.009Z - GET /api/subscriptions/current
2025-11-10T23:14:02.163Z - GET /api/subscriptions/current
2025-11-10T23:14:04.434Z - GET /api/subscriptions/current
2025-11-10T23:14:05.270Z - GET /api/subscriptions/current
2025-11-10T23:14:05.291Z - GET /api/subscriptions/current
2025-11-10T23:20:12.228Z - POST /api/auth/signin
2025-11-10T23:20:31.361Z - GET /api/subscriptions/current
2025-11-10T23:20:34.065Z - GET /api/subscriptions/current
2025-11-10T23:20:37.325Z - GET /api/subscriptions/current
2025-11-10T23:20:37.795Z - GET /api/subscriptions/current
2025-11-10T23:20:53.896Z - GET /api/metrics
2025-11-10T23:20:54.465Z - GET /api/metrics
2025-11-10T23:21:05.124Z - GET /api/subscriptions/current
2025-11-10T23:21:06.322Z - GET /api/subscriptions/current
2025-11-10T23:21:20.858Z - GET /api/services
2025-11-10T23:21:21.862Z - GET /api/services
2025-11-10T23:22:14.633Z - GET /api/subscriptions/current
2025-11-10T23:22:18.455Z - GET /api/subscriptions/current
2025-11-10T23:30:25.225Z - POST /api/auth/signin
2025-11-10T23:30:37.382Z - GET /api/subscriptions/current
2025-11-10T23:30:39.213Z - GET /api/subscriptions/current
2025-11-10T23:30:43.233Z - GET /api/subscriptions/current
2025-11-10T23:30:43.437Z - GET /api/subscriptions/current
2025-11-10T23:39:11.415Z - GET /api/subscriptions/current
2025-11-10T23:39:12.806Z - GET /api/subscriptions/current
2025-11-10T23:41:27.343Z - GET /api/subscriptions/current
2025-11-10T23:41:27.627Z - GET /api/subscriptions/current
2025-11-10T23:42:16.003Z - GET /api/subscriptions/current
2025-11-10T23:42:16.089Z - GET /api/subscriptions/current
2025-11-10T23:42:31.684Z - GET /api/subscriptions/current
2025-11-10T23:42:31.774Z - GET /api/subscriptions/current
2025-11-10T23:43:31.343Z - GET /api/subscriptions/current
2025-11-10T23:43:31.401Z - GET /api/subscriptions/current
2025-11-10T23:45:22.593Z - POST /api/auth/signin
2025-11-10T23:45:25.857Z - GET /api/subscriptions/current
2025-11-10T23:45:25.864Z - GET /api/subscriptions/current
2025-11-10T23:45:27.827Z - GET /api/subscriptions/current
2025-11-10T23:45:27.831Z - GET /api/subscriptions/current
2025-11-10T23:58:31.684Z - POST /api/auth/signin
2025-11-10T23:58:31.922Z - GET /api/subscriptions/current
2025-11-10T23:58:35.029Z - GET /api/subscriptions/current
2025-11-10T23:58:35.038Z - GET /api/subscriptions/current
2025-11-10T23:58:35.041Z - GET /api/subscriptions/current
2025-11-10T23:58:42.356Z - GET /api/products
2025-11-10T23:58:42.410Z - GET /api/products
2025-11-10T23:58:54.213Z - GET /api/services
2025-11-10T23:58:54.222Z - GET /api/services
2025-11-10T23:59:11.792Z - GET /api/subscriptions/current
2025-11-10T23:59:11.814Z - GET /api/subscriptions/current
2025-11-10T23:59:19.758Z - GET /api/metrics
2025-11-10T23:59:19.813Z - GET /api/metrics
⚠️  MongoDB disconnected
✅ MongoDB reconnected
⚠️  MongoDB disconnected
✅ MongoDB reconnected
2025-11-11T00:14:33.346Z - GET /api/subscriptions/current
2025-11-11T00:14:34.339Z - GET /api/subscriptions/current
2025-11-11T00:17:18.971Z - GET /api/metrics
2025-11-11T00:17:19.058Z - GET /api/metrics
2025-11-11T00:17:49.482Z - GET /api/metrics
2025-11-11T00:18:19.646Z - GET /api/metrics
2025-11-11T00:18:49.850Z - GET /api/metrics
2025-11-11T00:19:20.068Z - GET /api/metrics
2025-11-11T00:19:34.066Z - GET /api/subscriptions/current
2025-11-11T00:19:35.184Z - GET /api/subscriptions/current
2025-11-11T00:19:50.284Z - GET /api/metrics
2025-11-11T00:20:20.432Z - GET /api/metrics
2025-11-11T00:20:50.574Z - GET /api/metrics
2025-11-11T00:21:20.719Z - GET /api/metrics
2025-11-11T00:21:50.859Z - GET /api/metrics
2025-11-11T00:22:21.010Z - GET /api/metrics
2025-11-11T00:22:51.193Z - GET /api/metrics
2025-11-11T00:23:21.393Z - GET /api/metrics
2025-11-11T00:23:51.574Z - GET /api/metrics
2025-11-11T00:24:21.777Z - GET /api/metrics
2025-11-11T00:24:34.874Z - GET /api/subscriptions/current
2025-11-11T00:24:35.937Z - GET /api/subscriptions/current
2025-11-11T00:24:52.036Z - GET /api/metrics
2025-11-11T00:25:22.029Z - GET /api/metrics
2025-11-11T00:32:06.186Z - POST /api/auth/signin
2025-11-11T00:32:06.389Z - GET /api/subscriptions/current
2025-11-11T00:32:09.580Z - GET /api/subscriptions/current
2025-11-11T00:32:09.606Z - GET /api/subscriptions/current
2025-11-11T00:32:09.613Z - GET /api/subscriptions/current
2025-11-11T00:33:03.610Z - GET /api/subscriptions/current
2025-11-11T00:33:39.101Z - GET /api/subscriptions/current
2025-11-11T00:34:04.057Z - GET /api/subscriptions/current
2025-11-11T00:34:23.470Z - GET /api/subscriptions/current
2025-11-11T00:34:23.503Z - GET /api/subscriptions/current
2025-11-11T00:34:30.083Z - GET /api/subscriptions/current
2025-11-11T00:34:36.319Z - GET /api/metrics
2025-11-11T00:34:36.348Z - GET /api/metrics
2025-11-11T00:35:48.624Z - GET /api/subscriptions/current
2025-11-11T00:36:04.627Z - GET /api/subscriptions/current
2025-11-11T00:37:10.109Z - GET /api/subscriptions/current
2025-11-11T00:38:52.006Z - GET /api/subscriptions/current
2025-11-11T00:39:44.724Z - GET /api/subscriptions/current
2025-11-11T00:40:43.284Z - GET /api/subscriptions/current
2025-11-11T00:41:02.997Z - GET /api/subscriptions/current
2025-11-11T00:41:06.140Z - GET /api/subscriptions/current
2025-11-11T00:41:10.800Z - GET /api/products
2025-11-11T00:41:12.181Z - GET /api/services
2025-11-11T00:41:12.387Z - GET /api/products
2025-11-11T00:41:12.422Z - GET /api/services
2025-11-11T00:41:13.811Z - GET /api/products
2025-11-11T00:41:13.846Z - GET /api/products
2025-11-11T00:41:15.461Z - GET /api/services
2025-11-11T00:41:15.528Z - GET /api/services
2025-11-11T00:41:18.752Z - GET /api/subscriptions/current
2025-11-11T00:41:18.820Z - GET /api/subscriptions/current
2025-11-11T00:55:58.086Z - POST /api/auth/signin
2025-11-11T00:55:58.371Z - GET /api/subscriptions/current
2025-11-11T00:56:01.458Z - GET /api/subscriptions/current
2025-11-11T00:56:01.465Z - GET /api/subscriptions/current
2025-11-11T00:56:01.467Z - GET /api/subscriptions/current
2025-11-11T00:58:50.706Z - GET /api/subscriptions/current
2025-11-11T00:58:50.743Z - GET /api/subscriptions/current
2025-11-11T01:01:01.919Z - GET /api/subscriptions/current
2025-11-11T01:01:02.914Z - GET /api/subscriptions/current
2025-11-11T01:06:02.781Z - GET /api/subscriptions/current
2025-11-11T01:06:03.778Z - GET /api/subscriptions/current
⚠️  MongoDB disconnected
✅ MongoDB reconnected
2025-11-11T01:28:33.195Z - GET /api/subscriptions/current
2025-11-11T01:28:34.344Z - GET /api/subscriptions/current
⚠️  MongoDB disconnected
✅ MongoDB reconnected
⚠️  MongoDB disconnected
✅ MongoDB reconnected
⚠️  MongoDB disconnected
✅ MongoDB reconnected
⚠️  MongoDB disconnected
✅ MongoDB reconnected
2025-11-11T04:35:55.063Z - GET /api/subscriptions/current
2025-11-11T04:35:57.996Z - GET /api/subscriptions/current
2025-11-11T04:40:04.721Z - POST /api/auth/signin
2025-11-11T04:40:04.909Z - GET /api/subscriptions/current
2025-11-11T04:40:08.001Z - GET /api/subscriptions/current
2025-11-11T04:40:08.004Z - GET /api/subscriptions/current
2025-11-11T04:40:08.007Z - GET /api/subscriptions/current
2025-11-11T04:40:14.383Z - GET /api/products
2025-11-11T04:40:14.414Z - GET /api/products
2025-11-11T04:40:17.777Z - GET /api/services
2025-11-11T04:40:17.784Z - GET /api/services
2025-11-11T04:40:32.312Z - GET /api/subscriptions/current
2025-11-11T04:40:32.317Z - GET /api/subscriptions/current
2025-11-11T04:40:37.236Z - GET /api/metrics
2025-11-11T04:40:37.285Z - GET /api/metrics
2025-11-11T04:41:31.699Z - GET /api/services
2025-11-11T04:41:31.730Z - GET /api/services
2025-11-11T04:41:59.964Z - POST /api/auth/signin
2025-11-11T04:42:00.249Z - GET /api/subscriptions/current
2025-11-11T04:42:03.451Z - GET /api/subscriptions/current
2025-11-11T04:42:03.478Z - GET /api/subscriptions/current
2025-11-11T04:42:03.559Z - GET /api/subscriptions/current
2025-11-11T04:42:51.362Z - GET /api/products
2025-11-11T04:42:54.012Z - GET /api/products
2025-11-11T04:42:54.352Z - GET /api/products
2025-11-11T04:42:54.371Z - GET /api/products
2025-11-11T04:43:24.092Z - GET /api/subscriptions/current
2025-11-11T04:43:24.320Z - GET /api/subscriptions/current
2025-11-11T04:43:54.726Z - POST /api/auth/signin
2025-11-11T04:43:55.683Z - GET /api/subscriptions/current
2025-11-11T04:44:00.692Z - GET /api/subscriptions/current
2025-11-11T04:44:00.901Z - GET /api/subscriptions/current
2025-11-11T04:44:00.906Z - GET /api/subscriptions/current
2025-11-11T04:44:06.672Z - GET /api/services
2025-11-11T04:44:07.076Z - GET /api/services
2025-11-11T04:44:23.732Z - GET /api/services
2025-11-11T04:45:04.050Z - GET /api/services
2025-11-11T04:47:43.227Z - GET /api/services
2025-11-11T04:47:54.175Z - GET /api/subscriptions/current
2025-11-11T04:47:54.327Z - GET /api/subscriptions/current
2025-11-11T04:47:59.698Z - GET /api/products
2025-11-11T04:47:59.886Z - GET /api/products
2025-11-11T04:47:59.959Z - GET /api/products
2025-11-11T04:48:00.000Z - GET /api/products
2025-11-11T04:48:22.021Z - GET /api/products
2025-11-11T04:48:47.187Z - GET /api/subscriptions/current
2025-11-11T04:48:47.297Z - GET /api/subscriptions/current
2025-11-11T04:48:50.066Z - GET /api/products
2025-11-11T04:48:50.144Z - GET /api/products
2025-11-11T04:49:01.414Z - GET /api/subscriptions/current
2025-11-11T04:49:26.605Z - GET /api/products
2025-11-11T04:49:26.717Z - GET /api/products
2025-11-11T04:49:26.724Z - GET /api/products
2025-11-11T04:49:26.737Z - GET /api/products
2025-11-11T04:49:52.916Z - GET /api/subscriptions/current
2025-11-11T04:49:52.975Z - GET /api/subscriptions/current
2025-11-11T04:49:57.021Z - GET /api/services
2025-11-11T04:49:57.135Z - GET /api/services
2025-11-11T04:50:27.669Z - GET /api/services
2025-11-11T04:51:16.498Z - GET /api/services
2025-11-11T04:52:03.694Z - GET /api/services
2025-11-11T04:52:43.251Z - GET /api/services
2025-11-11T04:53:22.389Z - GET /api/services
2025-11-11T04:54:01.574Z - GET /api/subscriptions/current
2025-11-11T04:54:27.112Z - GET /api/subscriptions/current
2025-11-11T04:54:27.199Z - GET /api/subscriptions/current
2025-11-11T04:54:32.306Z - GET /api/products
2025-11-11T04:54:32.337Z - GET /api/products
2025-11-11T04:54:32.340Z - GET /api/products
2025-11-11T04:54:32.342Z - GET /api/products
2025-11-11T07:34:31.416Z - POST /api/auth/signin
2025-11-11T07:34:31.731Z - GET /api/subscriptions/current
2025-11-11T07:34:34.885Z - GET /api/subscriptions/current
2025-11-11T07:34:34.890Z - GET /api/subscriptions/current
2025-11-11T07:34:34.892Z - GET /api/subscriptions/current
2025-11-11T07:38:22.499Z - POST /api/auth/signin
2025-11-11T07:38:22.821Z - GET /api/subscriptions/current
2025-11-11T07:38:26.572Z - GET /api/subscriptions/current
2025-11-11T07:38:26.588Z - GET /api/subscriptions/current
2025-11-11T07:38:26.592Z - GET /api/subscriptions/current
2025-11-11T07:38:43.770Z - GET /api/products
2025-11-11T07:38:43.809Z - GET /api/products
2025-11-11T07:38:43.815Z - GET /api/products
2025-11-11T07:38:43.821Z - GET /api/products
2025-11-11T07:39:03.111Z - POST /api/auth/signin
2025-11-11T07:39:03.244Z - GET /api/subscriptions/current
2025-11-11T07:39:06.362Z - GET /api/subscriptions/current
2025-11-11T07:39:06.365Z - GET /api/subscriptions/current
2025-11-11T07:39:06.367Z - GET /api/subscriptions/current
2025-11-11T07:39:12.366Z - GET /api/products
2025-11-11T07:39:12.399Z - GET /api/products
2025-11-11T07:39:12.403Z - GET /api/products
2025-11-11T07:39:12.406Z - GET /api/products
2025-11-11T07:42:32.222Z - POST /api/auth/signin
2025-11-11T07:42:32.496Z - GET /api/subscriptions/current
2025-11-11T07:42:36.494Z - GET /api/subscriptions/current
2025-11-11T07:42:36.503Z - GET /api/subscriptions/current
2025-11-11T07:42:36.506Z - GET /api/subscriptions/current
2025-11-11T07:42:41.199Z - GET /api/products
2025-11-11T07:42:41.258Z - GET /api/products
2025-11-11T07:42:41.263Z - GET /api/products
2025-11-11T07:42:41.267Z - GET /api/products
2025-11-11T07:43:01.131Z - POST /api/auth/signin
2025-11-11T07:43:01.644Z - GET /api/subscriptions/current
2025-11-11T07:43:05.915Z - GET /api/subscriptions/current
2025-11-11T07:43:05.928Z - GET /api/subscriptions/current
2025-11-11T07:43:05.937Z - GET /api/subscriptions/current
2025-11-11T07:43:12.357Z - GET /api/products
2025-11-11T07:43:12.388Z - GET /api/products
2025-11-11T07:43:25.577Z - GET /api/services
2025-11-11T07:43:25.593Z - GET /api/services
2025-11-11T07:48:06.112Z - GET /api/subscriptions/current
2025-11-11T07:53:06.671Z - GET /api/subscriptions/current
2025-11-11T07:58:07.018Z - GET /api/subscriptions/current
2025-11-11T08:03:07.368Z - GET /api/subscriptions/current
2025-11-11T08:08:48.359Z - GET /api/subscriptions/current
2025-11-11T08:13:48.513Z - GET /api/subscriptions/current
2025-11-11T08:17:57.134Z - GET /api/subscriptions/current
2025-11-11T08:17:57.252Z - GET /api/subscriptions/current
2025-11-11T08:18:25.802Z - GET /api/products
2025-11-11T08:18:25.931Z - GET /api/products
2025-11-11T08:18:49.535Z - GET /api/subscriptions/current
2025-11-11T08:19:43.760Z - GET /api/subscriptions/current
2025-11-11T08:19:43.847Z - GET /api/subscriptions/current
2025-11-11T08:19:57.878Z - GET /api/services
2025-11-11T08:19:58.084Z - GET /api/services
2025-11-11T08:25:37.276Z - POST /api/auth/signin
2025-11-11T08:25:37.434Z - GET /api/subscriptions/current
2025-11-11T08:25:40.370Z - GET /api/subscriptions/current
2025-11-11T08:25:40.376Z - GET /api/subscriptions/current
2025-11-11T08:25:40.378Z - GET /api/subscriptions/current
2025-11-11T08:28:25.271Z - GET /api/services
2025-11-11T08:28:25.490Z - GET /api/services
2025-11-11T08:30:40.373Z - GET /api/subscriptions/current
2025-11-11T08:35:15.546Z - POST /api/auth/signin
2025-11-11T08:35:18.271Z - GET /api/subscriptions/current
2025-11-11T08:35:22.822Z - GET /api/subscriptions/current
2025-11-11T08:35:23.014Z - GET /api/subscriptions/current
2025-11-11T08:35:23.020Z - GET /api/subscriptions/current
2025-11-11T08:35:34.331Z - GET /api/products
2025-11-11T08:35:36.920Z - GET /api/products
2025-11-11T08:35:36.935Z - GET /api/products
2025-11-11T08:35:37.036Z - GET /api/products
2025-11-11T08:35:40.391Z - GET /api/subscriptions/current
2025-11-11T08:35:59.417Z - POST /api/auth/signin
2025-11-11T08:35:59.873Z - GET /api/subscriptions/current
2025-11-11T08:36:03.549Z - GET /api/subscriptions/current
2025-11-11T08:36:03.574Z - GET /api/subscriptions/current
2025-11-11T08:36:03.579Z - GET /api/subscriptions/current
2025-11-11T08:36:07.737Z - GET /api/services
2025-11-11T08:36:07.823Z - GET /api/services
2025-11-11T08:40:40.458Z - GET /api/subscriptions/current
2025-11-11T08:41:05.316Z - GET /api/subscriptions/current
2025-11-11T08:41:06.930Z - POST /api/auth/signin
2025-11-11T08:41:07.042Z - GET /api/subscriptions/current
2025-11-11T08:41:09.944Z - GET /api/subscriptions/current
2025-11-11T08:41:09.950Z - GET /api/subscriptions/current
2025-11-11T08:41:09.952Z - GET /api/subscriptions/current
2025-11-11T08:41:13.447Z - GET /api/products
2025-11-11T08:41:13.822Z - GET /api/products
2025-11-11T08:41:13.825Z - GET /api/products
2025-11-11T08:41:13.828Z - GET /api/products
2025-11-11T08:42:53.535Z - GET /api/products
2025-11-11T08:43:13.371Z - GET /api/products
2025-11-11T08:43:16.302Z - GET /api/products
2025-11-11T08:44:55.258Z - GET /api/products
2025-11-11T08:46:07.634Z - GET /api/subscriptions/current
2025-11-11T08:46:09.974Z - GET /api/subscriptions/current
2025-11-11T08:46:19.378Z - GET /api/products
2025-11-11T08:48:50.790Z - GET /api/products
2025-11-11T08:49:05.150Z - POST /api/auth/signin
2025-11-11T08:49:05.284Z - GET /api/subscriptions/current
2025-11-11T08:49:08.208Z - GET /api/subscriptions/current
2025-11-11T08:49:08.216Z - GET /api/subscriptions/current
2025-11-11T08:49:08.219Z - GET /api/subscriptions/current
2025-11-11T08:49:11.903Z - GET /api/products
2025-11-11T08:49:11.928Z - GET /api/products
2025-11-11T08:49:11.934Z - GET /api/products
2025-11-11T08:49:11.936Z - GET /api/products
2025-11-11T08:51:07.485Z - GET /api/subscriptions/current
2025-11-11T08:52:37.708Z - POST /api/auth/signup
2025-11-11T08:52:38.406Z - GET /api/subscriptions/current
2025-11-11T08:52:41.439Z - GET /api/subscriptions/current
2025-11-11T08:54:37.665Z - POST /api/auth/signup
2025-11-11T08:54:45.461Z - POST /api/auth/signin
2025-11-11T08:54:45.563Z - GET /api/subscriptions/current
2025-11-11T08:54:48.407Z - GET /api/subscriptions/current
2025-11-11T08:56:08.871Z - GET /api/subscriptions/current
2025-11-11T08:56:28.024Z - POST /api/auth/signin
2025-11-11T08:56:28.148Z - GET /api/subscriptions/current
2025-11-11T08:56:31.075Z - GET /api/subscriptions/current
2025-11-11T08:56:31.080Z - GET /api/subscriptions/current
2025-11-11T08:56:31.082Z - GET /api/subscriptions/current
2025-11-11T08:56:37.086Z - GET /api/products
2025-11-11T08:56:37.142Z - GET /api/products
2025-11-11T08:56:37.147Z - GET /api/products
2025-11-11T08:56:37.158Z - GET /api/products
2025-11-11T08:58:35.757Z - POST /api/auth/signin
